date_mid,mean,lower,upper
196.5,2.1554402545532674,0.7678827688709273,3.6310297586873643
200.5,2.0992180271999743,0.7837165859488517,3.486543956467755
201,2.042631795374681,0.7920719455367009,3.350012247660233
208,1.9854173916971782,0.7933809835938492,3.221182456759527
208.5,1.9273852300877548,0.7882357217154146,3.0998067844318054
211.5,1.868266603648101,0.7771566723736367,2.985323995704202
240,1.8079512424407547,0.7605957007114662,2.877222342433819
250,1.7463762920123949,0.7387618578409108,2.774828359187638
251,1.6835484712041073,0.7116111008136488,2.677338105410696
297.5,1.6198853049688156,0.6792065579615065,2.5843044020035864
317.5,1.5560199447112186,0.6417359528420317,2.495638694124706
320.5,1.4923391864411726,0.5993654175328884,2.41090737794723
330,1.4290164508400578,0.5522707220041289,2.329438533478295
385.5,1.3659308870574662,0.500468684819508,2.2502218913801766
389,1.302862150476987,0.4439250832167814,2.1722861008896848
395.5,1.2399664577133809,0.3832305665430424,2.095515726762862
396,1.177061160430406,0.31876644936725235,2.0194792729780233
396.5,1.1140280158385363,0.2510786308498183,1.9441356306841406
397,1.0508495669920381,0.1807594328274908,1.8698693210739172
399,0.9878372015449353,0.10867427492637471,1.7976535421515711
400,0.9253631305848999,0.03550027297466579,1.7284400386421668
404,0.864254714791038,-0.037450751107930225,1.663344212204962
405,0.8050520647796742,-0.10927674017578443,1.6026221373101193
412.5,0.7484988207053511,-0.17861761249327784,1.5463978241453042
416,0.6951929758680682,-0.24427078379884776,1.4945254639239245
419.5,0.6450919719998496,-0.30582622172154056,1.4463726297011728
425,0.5983063906460052,-0.3625663594863889,1.4016130844750438
429.5,0.5546397191430188,-0.4145290187790182,1.3599012136311504
430,0.5141683482950077,-0.46123166939132504,1.3211158407629342
431.5,0.47685203300618223,-0.5024514072106931,1.2851278275221216
434,0.44265226725553225,-0.5380354047325488,1.2518540898482136
438,0.411255796719281,-0.5685408064082855,1.2211064943972505
441,0.38265992330214005,-0.593879187281863,1.1928858068538752
450,0.3567043093263341,-0.6143937596404621,1.167154107052129
462,0.33341506404705645,-0.6300743933705228,1.1439923438360504
465,0.3126317656958388,-0.6414089918496229,1.1233972582354663
468,0.2942876247470908,-0.6487408026868786,1.1054863457447248
475,0.2785548344620632,-0.6519912898875229,1.090622536688084
475.5,0.26559511094883037,-0.6512580137611159,1.0793089331461097
493,0.25520807168554405,-0.6475234150249287,1.0718885229480677
500,0.2469726591241721,-0.642508884196384,1.0685910431863501
503,0.24074553629663153,-0.6376024532499254,1.0697945835566633
505,0.23633232633576207,-0.634759963446595,1.0758777561351094
545,0.23367795114790657,-0.6359778093082473,1.087429390654461
550,0.23264651706954054,-0.6431180242973655,1.1050367917048074
552,0.23336610574678907,-0.6569797026215001,1.1297126798975634
553.5,0.23591467485895035,-0.6777077046582662,1.162382159305594
558,0.24019877271968715,-0.7051672906342934,1.2037841406565235
561,0.24600913409919567,-0.7389152846980389,1.2544833959293333
564.5,0.25265412341737836,-0.778511776061968,1.31415201223803
567,0.25974906408624465,-0.8231996725239261,1.3827828651072087
567.5,0.2669493323034694,-0.8724048712492785,1.4602881998292978
574.5,0.27406039154071427,-0.9257688194178557,1.5466659244399277
576.5,0.28091741039076124,-0.98320054504424,1.6417820628641793
583.5,0.28751166105420367,-1.0447343104339832,1.7455955428287564
587.5,0.29372923204044843,-1.1105844810772707,1.857685192554959
599,0.29966279814651486,-1.1809217954692135,1.977857560225551
