name,doc_freq,term_count
christus,72,1484
auctoritas,69,630
existimo,72,652
imperator,64,673
caro,86,661
ciuitas,88,1450
exercitus,83,1204
graeci,66,808
memoria,82,629
oratio,85,1328
episcopus,18,826
istic,58,643
appello,98,1145
aequor,85,654
prouincia,75,631
iudico,95,732
constituo,106,1040
orator,48,654
intellego,105,1081
facile,110,824
agmen,83,688
periculum,94,778
consul,105,1058
animal,69,642
contineo,115,647
iniuria,96,641
oportet,102,769
fatum,107,961
littera,105,942
inimicus,120,644
acies,95,818
eques,79,629
castra,94,1026
numen,101,774
mars,77,707
caesar,91,1480
extremus,111,622
copia,111,692
litus,107,862
ciuis,115,847
tellus,95,740
luna,100,858
paulus,105,632
reliquus,85,733
senatus,87,1061
spiritus,119,950
unda,118,1138
publicus,117,1459
sententia,120,1129
uoluptas,97,1132
nauis,85,677
murus,92,601
saeuus,119,787
filius,135,2578
iudicium,128,1013
proelium,111,939
potestas,125,1048
reperio,113,599
motus,117,775
semen,94,628
sermo,129,1047
roma,114,984
contingo,116,599
